occ_year,occ_month,occ_dow,occ_day,occ_hour,division,premises_type,bike_make,bike_type,bike_colour,bike_cost
2014,March,Thursday,20,13,D51,Outside,EMMO,EL,BLK,895
2014,March,Monday,10,21,D53,House,KONA,MT,RED,200
2014,March,Wednesday,19,3,D53,House,OT,MT,RED,300
2014,March,Friday,14,19,D51,Outside,GIO,EL,BLK,1000
2014,March,Wednesday,19,3,D53,House,TR,MT,SIL,400
2014,March,Wednesday,19,10,D52,Outside,GIANT,TO,RED,100
2014,March,Friday,21,9,D13,Other,RALEIGH,OT,WHIBRN,200
2014,March,Monday,24,12,D52,Outside,EMMO,EL,SIL,1800
2014,March,Sunday,23,23,D22,House,KONA,MT,WHI,500
2014,March,Tuesday,25,6,D52,Other,NO,RG,LBL,800
2014,March,Thursday,27,6,D55,Outside,UNKNOWN MAKE,EL,BLK,2000
2014,March,Thursday,27,4,D51,Outside,EMMO,EL,BLK,3000
2014,March,Friday,28,15,D51,Outside,OT,RG,BLU,800
2014,March,Saturday,29,15,D51,Outside,EMMO,EL,GRN,800
2014,March,Tuesday,18,18,D53,House,SPECIALIZED,MT,SIL,2000
2014,March,Tuesday,25,12,D53,Outside,EMMO,EL,BLK,1025
2014,March,Sunday,30,12,D51,Outside,SC,OT,None,350
2014,March,Sunday,30,16,D55,House,EMMO,EL,BLU,1050
2014,March,Monday,31,16,D14,Outside,OTHER,OT,RED,200
2014,March,Tuesday,25,7,D13,Other,ROCKY MOUNTAIN,MT,REDWHI,2500
2014,March,Sunday,30,17,D55,Commercial,SU,MT,GRY,200
2014,January,Friday,31,21,D51,Outside,EMMO,EL,BLKBLU,1815
2014,April,Tuesday,1,19,D55,Outside,OTHER,EL,MRN,1300
2014,April,Tuesday,1,12,D55,Other,EAGLE,TA,MRN,1400
2014,March,Monday,31,10,D22,Transit,GT,MT,BLK,600
2014,April,Wednesday,2,16,D55,Apartment,OTHER,SC,None,4000
2014,April,Thursday,3,6,D55,House,GIO,EL,ONG,650
2014,April,Thursday,3,9,D55,Educational,OT,EL,WHI,1300
2014,April,Thursday,3,10,D11,House,KONA,MT,RED,1300
2014,April,Wednesday,2,22,D55,Other,RA,RG,RED,600
2014,January,Monday,27,18,D51,Apartment,VELO SPORT,EL,BLK,2484.87
2014,April,Friday,4,6,D51,House,OTHER,SC,WHI,1000
2014,April,Friday,4,21,D55,House,RAPTOR,EL,BLKRED,1300
2014,April,Friday,4,22,D14,Apartment,RA,RG,MRN,500
2014,April,Saturday,5,1,D12,House,OTHER,SC,BLU,1000
2014,April,Saturday,5,19,D51,Outside,UNKNOWN MAKE,MT,GRNWHI,100
2013,March,Monday,18,14,D14,Outside,OT,RC,RED,860
2014,April,Sunday,6,18,D52,Outside,KO,OT,BLK,700
2014,April,Tuesday,8,13,D51,Outside,OT,RC,RED,800
2014,April,Tuesday,8,10,D51,Outside,OT,RG,PLE,1100
2014,April,Monday,7,23,D51,House,GIANT,RC,BLKYEL,1300
2014,April,Tuesday,8,15,D51,Outside,EMMO,OT,BLK,1300
2014,March,Thursday,6,14,D51,Outside,RM,MT,GRY,70
2014,April,Wednesday,9,13,D11,Other,OT,OT,WHI,350
2014,April,Tuesday,8,2,D52,Educational,SU,MT,BLU,200
2013,October,Wednesday,9,10,D11,Commercial,MARIN OR MARINO,RC,None,3134
2014,April,Wednesday,9,17,D14,Commercial,SPECIALIZED,EL,BLUWHI,1000
2014,April,Tuesday,8,10,D52,Commercial,UK,TO,WHI,850
2014,April,Thursday,3,12,D14,Outside,FORTRESS,SC,RED,4000
2014,April,Thursday,10,21,D52,Outside,OTHER,RC,SIL,700
2014,April,Wednesday,9,21,D14,Apartment,NORCO,OT,BLK,600
2014,April,Friday,11,11,D53,Outside,TREK,OT,GRN,800
2014,April,Friday,11,13,D53,Outside,KIWI,EL,WHI,1000
2014,April,Friday,11,17,D51,Outside,TR,RG,SIL,600
2014,April,Friday,11,13,D52,Other,OPUS,BM,BLK,200
2014,April,Thursday,10,8,D43,Transit,GI,RG,GRY,750
2014,April,Thursday,10,15,D51,Apartment,EM,EL,RED,900
2014,April,Thursday,10,12,D52,Outside,KHS,MT,BLU,600
2014,April,Saturday,12,10,D52,Outside,NORCO,OT,GRY,800
2014,April,Friday,11,18,D53,Other,RM,MT,BLK,700
2014,April,Friday,11,13,D31,Apartment,UK,EL,RED,962.76
2014,April,Sunday,6,10,D52,Other,EM,EL,BLK,1464.75
2014,April,Friday,11,8,D52,Apartment,TR,RC,RED,2100
2013,December,Sunday,1,9,D13,Other,CCM,MT,BLU,200
2014,March,Friday,14,19,D53,Commercial,OTHER,OT,BLU,72
2014,April,Sunday,13,17,D13,Other,CC,MT,WHI,400
2014,April,Sunday,13,12,D14,Outside,RM,RG,GRN,700
2014,April,Saturday,12,13,D52,Outside,RA,RC,WHI,550
2012,August,Thursday,30,12,D22,Outside,ROCKY MOUNTAIN,MT,BLK,1000
2014,April,Sunday,13,17,D14,Outside,FUJI,RG,BLKYEL,600
2014,April,Saturday,12,14,D52,Educational,RALEIGH,OT,WHI,600
2014,April,Saturday,12,14,D52,Educational,SPECIALIZED,OT,BLKRED,719
2014,April,Sunday,13,22,D14,House,MA,MT,BLK,500
2014,April,Monday,14,12,D51,Educational,TR,RC,BLU,1500
2013,November,Friday,15,23,D14,House,GI,OT,WHI,600
2013,November,Friday,15,23,D14,House,UK,MT,None,50
2014,April,Thursday,10,11,D14,Outside,CCM,MT,WHIRED,175
2014,April,Wednesday,9,18,D51,Other,SPECIALIZED,RC,BLKRED,6789
2014,April,Tuesday,15,11,D51,Outside,UNKNOWN,SC,RED,4000
2013,September,Saturday,28,10,D53,Other,FORTRESS,SC,RED,4200
2014,April,Thursday,10,3,D51,Outside,TR,RG,BLK,700
2014,April,Tuesday,15,9,D53,Outside,OTHER,MT,BLUSIL,500
2014,April,Wednesday,16,11,D14,Outside,OTHER,RG,PLE,40
2014,April,Monday,7,9,D53,Other,CANNONDALE,MT,None,827.95
2014,April,Monday,7,9,D53,Other,GIANT,MT,SILWHI,883.15
2014,April,Monday,7,18,D51,Outside,TREK,MT,BLK,600
2014,April,Wednesday,16,13,D52,Educational,SPECIALIZED,OT,BLK,750
2014,April,Thursday,17,16,D14,Educational,UK,OT,BLK,600
2014,April,Thursday,17,13,D52,Outside,RM,OT,BLK,1000
2014,April,Thursday,17,10,D51,Outside,KHS,EL,BLU,500
2014,April,Wednesday,16,14,D11,Outside,SCHWINN,FO,RED,200
2014,April,Friday,18,11,D52,Outside,IN,MT,BLK,400
2014,April,Thursday,17,20,D51,Commercial,UK,RG,BLK,600
2014,April,Thursday,17,8,D55,Apartment,UK,MT,BLK,500
2014,April,Friday,18,23,D13,House,YAMANO,MT,SIL,400
2014,April,Saturday,19,13,D53,Outside,NORCO,OT,BLK,700
2014,April,Saturday,19,20,D51,Outside,EMMO,EL,ONG,1300
2014,April,Friday,18,19,D11,Transit,OTHER,OT,BGE,600
2014,April,Sunday,20,3,D51,Apartment,SUPERCYCLE,OT,SIL,300
2014,April,Sunday,20,13,D52,Outside,KHS,OT,BLK,630
2014,April,Friday,18,21,D55,House,EM,EL,GRN,900
2014,April,Friday,18,23,D53,House,TR,TO,WHI,1000
2014,April,Sunday,20,11,D14,Transit,OT,RC,BLK,700
2014,April,Monday,21,2,D22,Outside,OTHER,RG,None,10
2014,April,Monday,21,2,D22,Outside,OTHER,RG,BLU,10
2014,April,Friday,18,23,D53,House,OT,TO,SIL,860
2014,April,Friday,18,23,D53,House,KH,TO,SIL,450
